DocumentType,DocumentTitle,Abstract,Author,Editor,BookAuthors,PublicationType,PublicationName,Publisher,PublicationYear,PrintedPublicationYear,PublisherCity,Volume,Issue,StartPage,EndPage,BookTitle,BookSeriesTitle,Descriptors,PMID,ID,Correspondence,ISSN,ISBN,DOI
"Journal Article","Using machine learning algorithms to predict the effects of change processes in psychotherapy: Toward process-level treatment personalization.","This study aimed to develop and test algorithms to determine the individual relevance of two psychotherapeutic change processes (i.e., mastery and clarification) for outcome prediction. We measured process and outcome variables in a naturalistic outpatient sample treated with an integrative treatment for a variety of diagnoses (n = 608) during the first 10 sessions. We estimated individual within-patient effects of each therapist-evaluated process of change on patient-evaluated subsequent outcomes on a session-by-session basis. Using patients’ baseline characteristics, we trained machine learning algorithms on a randomly selected subsample (n = 407) to predict the effects of patients’ process variables on outcome. We subsequently tested the predictive capacity of the best algorithm for each process on a holdout subsample (n = 201). We found significant within-patient effects of therapist perceived mastery and clarification on subsequent outcome. In the holdout subsample, the best-performing algorithms resulted in significant but small-to-medium correlations between the predicted and observed relevance of therapist perceived mastery (r = .18) and clarification (r = .16). Using the algorithms to create criteria for individual recommendations, in the holdout sample, we identified patients for whom mastery (14%) or clarification (18%) were indicated. In the mastery-indicated group, a greater focus on mastery was moderately associated with better outcome (r = .33, d = .70), while in the clarification-indicated group, the focus was not related to outcome (r = −.05, d = .10). Results support the feasibility of performing individual predictions regarding mastery process relevance that can be useful for therapist feedback and treatment recommendations. However, results will need to be replicated with prospective experimental designs. (PsycInfo Database Record (c) 2023 APA, all rights reserved)","Gómez Penedo, Juan Martín;Rubel, Julian;Meglio, Manuel;Bornhauser, Leo;Krieger, Tobias;Babl, Anna;Muiños, Roberto;Roussos, Andrés;Delgadillo, Jaime;Flückiger, Christoph;Berger, Thomas;Lutz, Wolfgang;grosse Holtforth, Martin","","","Journal","Psychotherapy","Educational Publishing Foundation","2023","","US","","","No Pagination Specified","No Pagination Specified","","","*Algorithms;  *Outpatient Treatment;  *Prediction;  *Therapist Attitudes;  *Treatment Outcomes; Machine Learning Algorithms","","2024-14837-001","Gómez Penedo, Juan Martín: Facultad de Psicologia, Universidad de Buenos Aires, Lavalle 2353, Buenos Aires, Argentina, 1052, jmgomezpenedo@gmail.com","1939-1536(Electronic);0033-3204(Print)","","https://doi.org/10.1037/pst0000507"
"Journal Article","Application of machine learning-based models to boost the predictive power of the SPAN index.","Background: This study re-explored the predictive validity of Stroke Prognostication using Age and National Institutes of Health Stroke Scale (SPAN) index in patients who received different treatments for acute ischemic stroke (AIS) and developed machine learning-boosted outcome prediction models. Methods: We evaluated the prognostic relevance of SPAN index in patients with AIS who received intravenous tissue-type plasminogen activator (IV-tPA), intra-arterial thrombolysis (IAT) or non-thrombolytic treatments (non-tPA), and applied machine learning algorithms to develop SPAN-based outcome prediction models in a cohort of 2145 hospitalized AIS patients. The performance of the models was assessed and compared using the area under the receiver operating characteristic curves (AUCs). Results: SPAN index ≥100 was associated with higher mortality rate and higher modified Rankin Scale at discharge in AIS patients who received the different treatments. Compared to the lower AUCs for the SPAN-alone model across all groups, the AUCs of the logistic regression-boosted model were 0.838, 0.857, 0.766 and 0.875 for the whole cohort, non-tPA, IV-tPA and IAT groups, respectively. Similarly, the AUCs of the generated artificial neural network were 0.846, 0.858, 0.785 and 0.859 for the whole cohort, non-tPA, IV-tPA and IAT groups, respectively, while for gradient boosting decision tree model, we computed 0.850, 0.863, 0.779 and 0.815. Conclusions: SPAN index has prognostic relevance in patients with AIS who received different treatments. The generated machine learning-based models exhibit good performance for predicting the functional recovery of AIS; thus, their proposed clinical application to aid outcome prediction and decision-making for the patients with AIS. (PsycInfo Database Record (c) 2023 APA, all rights reserved)","Chung, Chen-Chih;Bamodu, Oluwaseun Adebayo;Hong, Chien-Tai;Chan, Lung;Chiu, Hung-Wen","","","Journal","International Journal of Neuroscience","Taylor & Francis","2023","","United Kingdom","133","1","26","36","","","*Cerebral Ischemia;  *Cerebrovascular Accidents;  *Prognosis;  *Artificial Neural Networks; Machine Learning; Models; Prediction; Treatment Outcomes","","2021-15043-001","Chan, Lung: Department of Neurology, Taipei Medical University–Shuang Ho Hospital, 291 Zhongzheng Rd., New Taipei City, Taiwan, 235, cjustinmd@gmail.com","1563-5279(Electronic);0020-7454(Print)","","https://doi.org/10.1080/00207454.2021.1881092"
"Journal Article","Evidence for machine learning guided early prediction of acute outcomes in the treatment of depressed children and adolescents with antidepressants.","Background: The treatment of depression in children and adolescents is a substantial public health challenge. This study examined artificial intelligence tools for the prediction of early outcomes in depressed children and adolescents treated with fluoxetine, duloxetine, or placebo. Methods: The study samples included training datasets (N = 271) from patients with major depressive disorder (MDD) treated with fluoxetine and testing datasets from patients with MDD treated with duloxetine (N = 255) or placebo (N = 265). Treatment trajectories were generated using probabilistic graphical models (PGMs). Unsupervised machine learning identified specific depressive symptom profiles and related thresholds of improvement during acute treatment. Results: Variation in six depressive symptoms (difficulty having fun, social withdrawal, excessive fatigue, irritability, low self-esteem, and depressed feelings) assessed with the Children’s Depression Rating Scale-Revised at 4–6 weeks predicted treatment outcomes with fluoxetine at 10–12 weeks with an average accuracy of 73% in the training dataset. The same six symptoms predicted 10–12 week outcomes at 4–6 weeks in (a) duloxetine testing datasets with an average accuracy of 76% and (b) placebo-treated patients with accuracies of 67%. In placebo-treated patients, the accuracies of predicting response and remission were similar to antidepressants. Accuracies for predicting nonresponse to placebo treatment were significantly lower than antidepressants. Conclusions: PGMs provided clinically meaningful predictions in samples of depressed children and adolescents treated with fluoxetine or duloxetine. Future work should augment PGMs with biological data for refined predictions to guide the selection of pharmacological and psychotherapeutic treatment in children and adolescents with depression. (PsycInfo Database Record (c) 2022 APA, all rights reserved)","Athreya, Arjun P.;Vande Voort, Jennifer L.;Shekunov, Julia;Rackley, Sandra J.;Leffler, Jarrod M.;McKean, Alastair J.;Romanowicz, Magdalena;Kennard, Betsy D.;Emslie, Graham J.;Mayes, Taryn;Trivedi, Madhukar;Wang, Liewei;Weinshilboum, Richard M.;Bobo, William V.;Croarkin, Paul E.","","","Journal","Journal of Child Psychology and Psychiatry","Wiley-Blackwell Publishing Ltd.","2022","","United Kingdom","63","11","1347","1358","","","*Antidepressant Drugs;  *Machine Learning;  *Major Depression;  *Prediction;  *Treatment Outcomes; Adolescent Psychopathology; Child Psychopathology; Decision Support Systems; Drug Therapy","35288932","2022-45387-001","Croarkin, Paul E.: Department of Psychiatry and Psychology, Mayo Clinic, Rochester, MN, US, 55905, croarkin.paul@mayo.edu","1469-7610(Electronic);0021-9630(Print)","","https://doi.org/10.1111/jcpp.13580"
"Journal Article","What the future holds: Machine learning to predict success in psychotherapy.","Machine learning (ML) may help to predict successful psychotherapy outcomes and to identify relevant predictors of success. So far, ML applications are scant in psychotherapy research and they are typically based on small samples or focused on specific diagnoses. In this study, we predict successful therapy outcomes with ML in a heterogeneous sample in routine outpatient care. We trained established ML models (decision trees and ensembles of them) with routinely collected clinical baseline information from n = 685 outpatients to predict a successful outcome of cognitive behavioral therapy. Treatment success was defined as clinically significant change (CSC) on the Brief-Symptom-Checklist (reached by 326 patients; 48%). The best performing model (Gradient Boosting Machines) achieved a balanced accuracy of 69% (p < .001) on unseen validation data. Out of 383 variables, we identified the 16 most important predictors, which were still able to predict CSC with 67% balanced accuracy. Our study demonstrates that ML models built on data, which is typically available at the outset of therapy, can predict whether an individual will substantially benefit from the intervention. Some of the predictors were theoretically expected (e.g., level of functioning), but others need further validation (e.g., somatization). From a theoretical and practical perspective, ML is clearly an attractive addition to more established psychotherapy research methodology. (PsycInfo Database Record (c) 2022 APA, all rights reserved)","Taubitz, Friedrich-Samuel;Büdenbender, Björn;Alpers, Georg W.","","","Journal","Behaviour Research and Therapy","Elsevier Science","2022","","Netherlands","156","","1","11","","","*Cognitive Behavior Therapy;  *Machine Learning;  *Prognosis;  *Psychotherapeutic Outcomes;  *Psychotherapy; Prediction; Treatment Outcomes","","2022-73841-001","Alpers, Georg W.: L 13, Mannheim, Germany, 17 68161, alpers@uni-mannheim.de","1873-622X(Electronic);0005-7967(Print)","","https://doi.org/10.1016/j.brat.2022.104116"
"Journal Article","Information extraction from free text for aiding transdiagnostic psychiatry: Constructing NLP pipelines tailored to clinicians’ needs.","Background: Developing predictive models for precision psychiatry is challenging because of unavailability of the necessary data: extracting useful information from existing electronic health record (EHR) data is not straightforward, and available clinical trial datasets are often not representative for heterogeneous patient groups. The aim of this study was constructing a natural language processing (NLP) pipeline that extracts variables for building predictive models from EHRs. We specifically tailor the pipeline for extracting information on outcomes of psychiatry treatment trajectories, applicable throughout the entire spectrum of mental health disorders (“transdiagnostic”). Methods: A qualitative study into beliefs of clinical staff on measuring treatment outcomes was conducted to construct a candidate list of variables to extract from the EHR. To investigate if the proposed variables are suitable for measuring treatment effects, resulting themes were compared to transdiagnostic outcome measures currently used in psychiatry research and compared to the HDRS (as a gold standard) through systematic review, resulting in an ideal set of variables. To extract these from EHR data, a semi-rule based NLP pipeline was constructed and tailored to the candidate variables using Prodigy. Classification accuracy and F1-scores were calculated and pipeline output was compared to HDRS scores using clinical notes from patients admitted in 2019 and 2020. Results: Analysis of 34 questionnaires answered by clinical staff resulted in four themes defining treatment outcomes: symptom reduction, general well-being, social functioning and personalization. Systematic review revealed 242 different transdiagnostic outcome measures, with the 36-item Short-Form Survey for quality of life (SF36) being used most consistently, showing substantial overlap with the themes from the qualitative study. Comparing SF36 to HDRS scores in 26 studies revealed moderate to good correlations (0.62—0.79) and good positive predictive values (0.75—0.88). The NLP pipeline developed with notes from 22,170 patients reached an accuracy of 95 to 99 percent (F1 scores: 0.38 – 0.86) on detecting these themes, evaluated on data from 361 patients. Conclusions: The NLP pipeline developed in this study extracts outcome measures from the EHR that cater specifically to the needs of clinical staff and align with outcome measures used to detect treatment effects in clinical trials. (PsycInfo Database Record (c) 2022 APA, all rights reserved)","Turner, Rosanne J.;Coenen, Femke;Roelofs, Femke;Hagoort, Karin;Härmä, Aki;Grünwald, Peter D.;Velders, Fleur P.;Scheepers, Floortje E.","","","Journal","BMC Psychiatry","BioMed Central Limited","2022","","United Kingdom","22","","","","","","*Machine Learning;  *Major Depression;  *Prediction;  *Treatment Outcomes;  *Natural Language Processing; Models; Personalization; Psychodiagnostic Typologies; Electronic Health Records","35715745","2022-75384-001","Turner, Rosanne J.: University Medical Center Utrecht, Brain Center, Amsterdam, Netherlands, r.j.turner@umcutrecht.nl","1471-244X(Electronic)","","https://doi.org/10.1186/s12888-022-04058-z"
"Journal Article","Computational approaches to treatment response prediction in major depression using brain activity and behavioral data: A systematic review.","Major depressive disorder is a heterogeneous diagnostic category with multiple available treatments. With the goal of optimizing treatment selection, researchers are developing computational models that attempt to predict treatment response based on various pretreatment measures. In this paper, we review studies that use brain activity data to predict treatment response. Our aim is to highlight and clarify important methodological differences between various studies that relate to the incorporation of domain knowledge, specifically within two approaches delineated as data-driven and theory-driven. We argue that theory-driven generative modeling, which explicitly models information processing in the brain and thus can capture disease mechanisms, is a promising emerging approach that is only beginning to be utilized in treatment response prediction. The predictors extracted via such models could improve interpretability, which is critical for clinical decision-making. We also identify several methodological limitations across the reviewed studies and provide suggestions for addressing them. Namely, we consider problems with dichotomizing treatment outcomes, the importance of investigating more than one treatment in a given study for differential treatment response predictions, the need for a patient-centered approach for defining treatment outcomes, and finally, the use of internal and external validation methods for improving model generalizability. (PsycInfo Database Record (c) 2023 APA, all rights reserved)","Karvelis, Povilas;Charlton, Colleen E.;Allohverdi, Shona G.;Bedford, Peter;Hauke, Daniel J.;Diaconescu, Andreea O.","","","Journal","Network Neuroscience","MIT Press","2022","","US","6","4","1066","1103","","","*Electroencephalography;  *Machine Learning;  *Major Depression;  *Symptoms; Models; Prediction; Simulation; Treatment Outcomes; Functional Magnetic Resonance Imaging","","2023-30342-009","Karvelis, Povilas: povilas.karvelis@camh.ca","2472-1751(Electronic)","","https://doi.org/10.1162/netn_a_00233"
"Journal Article","Machine learning enhances prediction of illness course: A longitudinal study in eating disorders.","Background: Psychiatric disorders, including eating disorders (EDs), have clinical outcomes that range widely in severity and chronicity. The ability to predict such outcomes is extremely limited. Machine-learning (ML) approaches that model complexity may optimize the prediction of multifaceted psychiatric behaviors. However, the investigations of many psychiatric concerns have not capitalized on ML to improve prognosis. This study conducted the first comparison of an ML approach (elastic net regularized logistic regression) to traditional regression to longitudinally predict ED outcomes. Methods: Females with heterogeneous ED diagnoses completed demographic and psychiatric assessments at baseline (n = 415) and Year 1 (n = 320) and 2 (n = 277) follow-ups. Elastic net and traditional logistic regression models comprising the same baseline variables were compared in ability to longitudinally predict ED diagnosis, binge eating, compensatory behavior, and underweight BMI at Years 1 and 2. Results: Elastic net models had higher accuracy for all outcomes at Years 1 and 2 [average Area Under the Receiving Operating Characteristics Curve (AUC) = 0.78] compared to logistic regression (average AUC = 0.67). Model performance did not deteriorate when the most important predictor was removed or an alternative ML algorithm (random forests) was applied. Baseline ED (e.g. diagnosis), psychiatric (e.g. hospitalization), and demographic (e.g. ethnicity) characteristics emerged as important predictors in exploratory predictor importance analyses. Conclusions: ML algorithms can enhance the prediction of ED symptoms for 2 years and may identify important risk markers. The superior accuracy of ML for predicting complex outcomes suggests that these approaches may ultimately aid in advancing precision medicine for serious psychiatric disorders. (PsycInfo Database Record (c) 2021 APA, all rights reserved)","Haynos, Ann F.;Wang, Shirley B.;Lipson, Sarah;Peterson, Carol B.;Mitchell, James E.;Halmi, Katherine A.;Agras, W. Stewart;Crow, Scott J.","","","Journal","Psychological Medicine","Cambridge University Press","2021","","United Kingdom","51","8","1392","1402","","","*Eating Disorders;  *Machine Learning;  *Prediction;  *Psychotherapeutic Outcomes; Algorithms; Bulimia; Demographic Characteristics","","2020-15279-001","Haynos, Ann F.: afhaynos@umn.edu","1469-8978(Electronic);0033-2917(Print)","","https://doi.org/10.1017/S0033291720000227"
"Journal Article","A random forest model for predicting social functional improvement in Chinese patients with schizophrenia after 3 months of atypical antipsychotic monopharmacy: A cohort study.","Purpose: Impaired social functions contribute to the burden of schizophrenia patients and their families, but predictive tools of social functioning prognosis and specific factors are undefined in Chinese clinical practice. This article explores a machine learning tool to identify whether patients will achieve significant social functional improvement after 3 months of atypical antipsychotic monopharmacy and finds the defined risk factors using a multicenter clinical study. Patients and Methods: A multicenter study on atypical antipsychotic (AAP) treatment in Chinese patients with schizophrenia (SALT-C) was conducted from July 2011 to August 2018. Data from 550 patients with AAP monopharmacy from their baseline to their 3-month follow-up were used to establish machine learning tools after screening. The positive outcome was an increase in the Personal and Social Performance (PSP) scale score by ≥ 10 points. The predictors were a range of investigator-rated assessments on symptoms, functioning, the safety of AAPs and illness history. The Least Absolute Shrinkage and Selection Operator (LASSO) was used for the feature screening and ranking of the predicted variables. The random forest algorithm and five-fold cross-validation for optimizing the model were selected to ensure the generalizability and precision. Results: There were 137 patients (mean [SD] age, 41.1 [16.8] years; 77 [58.8%] female) who had a good social functional prognosis. A lower PSP score, taking a mood stabilizer, a high total Positive and Negative Symptom Scale (PANSS) and PANSS general subscale score, unemployment, a hepatic injury with medication, comorbid cardiovascular disease and being male predicted poor PSP outcomes. The generalizability of the PSP predictive tool was estimated with the precision–recall curve (accuracy of 79.5%, negative predictive value of 92.6% and positive predictive value of 57.1%) and receiver operating characteristic curve (ROC) (specificity of 81.8% and sensitivity of 78.7%). Conclusion: The machine learning tool established using our current real-world data could assist in predicting PSP outcome by several clinical factors. (PsycInfo Database Record (c) 2023 APA, all rights reserved)","Li, Yange;Zhang, Lei;Zhang, Yan;Wen, Hui;Huang, Jingjing;Shen, Yifeng;Li, Huafang","","","Journal","Neuropsychiatric Disease and Treatment","Dove Medical Press Ltd.","2021","","New Zealand","17","","","","","","*Drug Therapy;  *Machine Learning;  *Neuroleptic Drugs;  *Schizophrenia;  *Social Functioning;  *Decision Tree Algorithms; Models; Prediction; Treatment Outcomes","33776440","2021-53192-001","Li, Huafang: Shanghai Mental Health Center, Shanghai Jiao Tong University School of Medicine, 600, Wan Ping Nan Lu, Shanghai, China, 200030, lhlh_5@163.com","1178-2021(Electronic)","","https://doi.org/10.2147/NDT.S280757"
"Journal Article","Predicting outcome of daycare cognitive behavioural therapy in a naturalistic sample of patients with PTSD: A machine learning approach.","Background: Identifying predictors for treatment outcome in patients with posttraumatic stress disorder (PTSD) is important in order to provide an effective treatment, but robust and replicated treatment outcome predictors are not available up to now. Objectives: We investigated predictors of treatment outcome in a naturalistic sample of patients with PTSD admitted to an 8-week daycare cognitive behavioural therapy programme following a wide range of traumatic events. Method: We used machine learning (linear and non-linear regressors and cross-validation) to predict outcome at discharge for 116 patients and sustained treatment effects 6 months after discharge for 52 patients who had a follow-up assessment. Predictions were based on a wide selection of demographic and clinical assessments including age, gender, comorbid psychiatric disorders, trauma history, posttraumatic symptoms, posttraumatic cognitions, depressive symptoms, general psychopathology and psychosocial functioning. Results: We found that demographic and clinical variables significantly, but only modestly predicted PTSD treatment outcome at discharge (r = 0.21, p = .021 for the best model) and follow-up (r = 0.31, p = .026). Among the included variables, more severe posttraumatic cognitions were negatively associated with treatment outcome. Early response in PTSD symptomatology (percentage change of symptom scores after 4 weeks of treatment) allowed more accurate predictions of outcome at discharge (r = 0.56, p r = 0.43, p = .001). Conclusion: Our results underscore the importance of early treatment response for short- and long-term treatment success. Nevertheless, it remains an unresolved challenge to identify variables that can robustly predict outcome before the initiation of treatment. (PsycInfo Database Record (c) 2023 APA, all rights reserved)","Stuke, Heiner;Schoofs, Nikola;Johanssen, Helen;Bermpohl, Felix;Ülsmann, Dominik;Schulte-Herbrüggen, Olaf;Priebe, Kathlen","","","Journal","European Journal of Psychotraumatology","Taylor & Francis","2021","","United Kingdom","12","1","","","","","*Cognitive Behavior Therapy;  *Machine Learning;  *Posttraumatic Stress Disorder;  *Prediction;  *Treatment Outcomes; Day Care Centers; Patients; Symptoms","","2021-91664-001","Stuke, Heiner: Department of Psychiatry and Psychotherapy, Charite – Universitatsmedizin Berlin, Chariteplatz 1, Berlin, Germany, 10117, heiner.stuke@charite.de","2000-8066(Electronic)","","https://doi.org/10.1080/20008198.2021.1958471"
"Journal Article","Combining machine learning algorithms for prediction of antidepressant treatment response.","Objectives: Predictors for unfavorable treatment outcome in major depressive disorder (MDD) applicable for treatment selection are still lacking. The database of a longitudinal multicenter study on 1079 acutely depressed patients, performed by the German research network on depression (GRND), allows supervised and unsupervised learning to further elucidate the interplay of clinical and psycho‐sociodemographic variables and their predictive impact on treatment outcome phenotypes. Experimental Procedures: Treatment response was defined by a change of HAM‐D 17‐item baseline score ≥ 50% and remission by the established threshold of ≤ 7, respectively, after up to eight weeks of inpatient treatment. After hierarchical symptom clustering and stratification by treatment subtypes (serotonin reuptake inhibitors, tricyclic antidepressants, antipsychotic, and lithium augmentation), prediction models for different outcome phenotypes were computed with random forest in a cross‐center validation design. In total, 88 predictors were implemented. Results: Clustering revealed four distinct HAM‐D subscores related to emotional, anxious, sleep, and appetite symptoms, respectively. After feature selection, classification models reached moderate to high accuracies up to 0.85. Highest accuracies were observed for the SSRI and TCA subgroups and for sleep and appetite symptoms, while anxious symptoms showed poor predictability. Conclusion: Our results support a decisive role for machine learning in the management of antidepressant treatment. Treatment‐ and symptom‐specific algorithms may increase accuracies by reducing heterogeneity. Especially, predictors related to duration of illness, baseline depression severity, anxiety and somatic symptoms, and personality traits moderate treatment success. However, prospectives application of machine learning models will be necessary to prove their value for the clinic. (PsycInfo Database Record (c) 2023 APA, all rights reserved)","Kautzky, Alexander;Möller, Hans‐Juergen;Dold, Markus;Bartova, Lucie;Seemüller, Florian;Laux, Gerd;Riedel, Michael;Gaebel, Wolfgang;Kasper, Siegfried","","","Journal","Acta Psychiatrica Scandinavica","Wiley-Blackwell Publishing Ltd.","2021","","United Kingdom","143","1","36","49","","","*Antidepressant Drugs;  *Drug Therapy;  *Prediction;  *Treatment Outcomes;  *Machine Learning Algorithms; Affective Disorders; Machine Learning; Major Depression","33141944","2020-91184-001","Kasper, Siegfried: Department of Psychiatry and Psychotherapy, Medical University of Vienna, Wahringer Gurtel 18-20, Vienna, Austria, A-1090, gen-psychiatry@meduniwien.ac.at","1600-0447(Electronic);0001-690X(Print)","","https://doi.org/10.1111/acps.13250"
